hospital_name,doctor_name,qualification,specialization,doctor_phone,doctor_email,doctors_age,yoe,hospital_exact_location,disease_related,gender,available_for_online_consultation,avialable_slots,ratings(out_of_5),consultation_fee
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Amit Kashyap,"MBBS, MD",General Surgeon,+91-9576891298,amit.kashyap707@medmail.com,30,9.0,"Main Market, Hamirpur",General Surgery,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.8,1484
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Manish Sharma,"MBBS, MD",Neurologist,+91-9292199230,manish.sharma510@medmail.com,36,6.0,"Dugha, Hamirpur",Brain Disorders,Male,Yes,10:00 AM - 2:00 PM,3.5,759
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Manish Singh,"MBBS, MS",Oncologist,+91-9367916806,manish.singh280@medmail.com,58,8.0,"Krishna Nagar, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,321
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Rahul Singh,"MBBS, MD",ENT Specialist,+91-7192284841,rahul.singh439@medmail.com,58,8.0,"Main Market, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,552
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Neha Rana,"MBBS, MCh",ENT Specialist,+91-9831562942,neha.rana17@medmail.com,50,8.0,"Dugha, Hamirpur",General Treatment,Female,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,1047
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Deepak Gupta,"MBBS, MD",Neurologist,+91-9508861090,deepak.gupta43@medmail.com,50,8.0,"Main Market, Hamirpur",Brain Disorders,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.7,1156
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Rohit Rana,"MBBS, DM",Gynecologist,+91-8320162747,rohit.rana861@medmail.com,45,5.0,"Near Bypass Road, Hamirpur",General Treatment,Male,Yes,10:00 AM - 2:00 PM,3.5,774
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Sonal Jaiswal,"MBBS, MS",ENT Specialist,+91-8683096711,sonal.jaiswal823@medmail.com,31,4.0,"Krishna Nagar, Hamirpur",General Treatment,Female,No,10:00 AM - 2:00 PM,3.4,1382
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Neha Singh,"MBBS, MD",Gynecologist,+91-7580272194,neha.singh551@medmail.com,35,4.0,"Dugha, Hamirpur",General Treatment,Female,No,10:00 AM - 2:00 PM,3.4,810
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Ritu Thakur,MBBS,Eye Specialist,+91-8969740633,ritu.thakur187@medmail.com,56,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,999
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Amit Bhardwaj,"MBBS, DM",Orthopedic Surgeon,+91-8617055278,amit.bhardwaj107@medmail.com,52,6.0,"Dugha, Hamirpur",Bone & Joint Problems,Male,Yes,10:00 AM - 2:00 PM,3.5,1275
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Alka Sharma,"MBBS, DM",Dermatologist,+91-7068896047,alka.sharma874@medmail.com,44,10.0,"Krishna Nagar, Hamirpur",Skin Problems,Female,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.9,489
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Harsh Kapoor,"MBBS, MD",Pediatrician,+91-8527221527,harsh.kapoor108@medmail.com,56,20.0,"Main Market, Hamirpur",Child Health Issues,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.8,1257
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Harsh Chauhan,"MBBS, MCh",Pediatrician,+91-8373207487,harsh.chauhan324@medmail.com,60,20.0,"Pakka Bharor, Hamirpur",Child Health Issues,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.8,986
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Amit Jaiswal,"MBBS, MCh",ENT Specialist,+91-7668537966,amit.jaiswal940@medmail.com,48,12.0,"Pakka Bharor, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.1,1257
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Rohit Gupta,"MBBS, MS",Gynecologist,+91-7346091702,rohit.gupta156@medmail.com,38,10.0,"Main Market, Hamirpur",General Treatment,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.9,862
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Karan Singh,"MBBS, MS",General Surgeon,+91-8296539144,karan.singh615@medmail.com,48,10.0,"Krishna Nagar, Hamirpur",General Surgery,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.9,1131
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Naveen Bhardwaj,MBBS,Cardiologist,+91-7007026091,naveen.bhardwaj460@medmail.com,54,22.0,"Pakka Bharor, Hamirpur",Heart Problems,Male,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",5.0,1454
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Neha Chauhan,"MBBS, MCh",Oncologist,+91-8239624229,neha.chauhan109@medmail.com,51,20.0,"Pakka Bharor, Hamirpur",General Treatment,Female,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",4.8,946
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Pooja Kapoor,"MBBS, MS",Dermatologist,+91-9800530234,pooja.kapoor208@medmail.com,33,9.0,"Krishna Nagar, Hamirpur",Skin Problems,Female,Yes,"10:00 AM - 2:00 PM, 5:00 PM - 7:00 PM",3.8,320
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Alka Gupta,"MBBS, MS",Neurologist,+91-7292432018,alka.gupta385@medmail.com,61,,"Near Bypass Road, Hamirpur",Brain Disorders,Female,No,4:00 PM - 8:00 PM,3.0,1140
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Raghav Rana,"MBBS, MCh",Gynecologist,+91-7757899248,raghav.rana447@medmail.com,47,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,466
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Suresh Singh,MBBS,Gynecologist,+91-8045493092,suresh.singh691@medmail.com,64,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,687
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Arun Kapoor,MBBS,Dermatologist,+91-9852316313,arun.kapoor694@medmail.com,54,,"Sujanpur Tira, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,900
"Dr Radhakrishnan Govt Medical College Hospital, Hamirpur",Dr. Sheetal Bhardwaj,"MBBS, DM",Gynecologist,+91-8201987348,sheetal.bhardwaj21@medmail.com,41,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,615
Hamirpur Medical Centre 3,Dr. Meena Chauhan,"MBBS, MS",Pediatrician,+91-9540755306,meena.chauhan538@medmail.com,59,,"Krishna Nagar, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,313
City Hospital Hamirpur,Dr. Deepak Bhardwaj,"MBBS, MS",Eye Specialist,+91-7821778448,deepak.bhardwaj5@medmail.com,49,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,541
City Hospital Hamirpur,Dr. Manish Rana,"MBBS, MS",Gynecologist,+91-8575775000,manish.rana545@medmail.com,43,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1076
City Hospital Hamirpur,Dr. Sheetal Chauhan,MBBS,Cardiologist,+91-8183339753,sheetal.chauhan439@medmail.com,55,,"Near Bypass Road, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,864
City Hospital Hamirpur,Dr. Naveen Kapoor,"MBBS, MD",ENT Specialist,+91-8366015235,naveen.kapoor811@medmail.com,39,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1197
City Hospital Hamirpur,Dr. Priya Singh,"MBBS, DM",Cardiologist,+91-7764315045,priya.singh828@medmail.com,38,,"Main Market, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,391
City Hospital Hamirpur,Dr. Priya Gupta,"MBBS, MS",ENT Specialist,+91-8780000359,priya.gupta137@medmail.com,61,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1255
City Hospital Hamirpur,Dr. Raghav Rana,"MBBS, MCh",General Surgeon,+91-8856101036,raghav.rana118@medmail.com,39,,"Dugha, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,808
City Hospital Hamirpur,Dr. Deepak Jaiswal,"MBBS, MD",Orthopedic Surgeon,+91-9791928780,deepak.jaiswal229@medmail.com,43,,"Pakka Bharor, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,1075
City Hospital Hamirpur,Dr. Arun Bhardwaj,MBBS,Orthopedic Surgeon,+91-7017325961,arun.bhardwaj808@medmail.com,40,,"Krishna Nagar, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,334
City Hospital Hamirpur,Dr. Amit Bhardwaj,MBBS,Eye Specialist,+91-9285935146,amit.bhardwaj959@medmail.com,59,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,505
City Hospital Hamirpur,Dr. Raghav Thakur,"MBBS, MD",Gynecologist,+91-9693504292,raghav.thakur823@medmail.com,61,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1404
City Hospital Hamirpur,Dr. Harsh Singh,"MBBS, MS",Eye Specialist,+91-8729992212,harsh.singh815@medmail.com,64,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1325
City Hospital Hamirpur,Dr. Karan Rana,"MBBS, MCh",Dermatologist,+91-8730907644,karan.rana481@medmail.com,64,,"Dugha, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1321
City Hospital Hamirpur,Dr. Anjali Gupta,"MBBS, MD",Dermatologist,+91-7555752246,anjali.gupta994@medmail.com,62,,"Near Bypass Road, Hamirpur",Skin Problems,Female,No,4:00 PM - 8:00 PM,3.0,865
City Hospital Hamirpur,Dr. Ritu Chauhan,"MBBS, MCh",Orthopedic Surgeon,+91-7157281280,ritu.chauhan347@medmail.com,56,,"Near Bypass Road, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,1429
City Hospital Hamirpur,Dr. Arun Thakur,"MBBS, MD",Neurologist,+91-9505271781,arun.thakur710@medmail.com,31,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1002
City Hospital Hamirpur,Dr. Harsh Bhardwaj,MBBS,Pediatrician,+91-9919606575,harsh.bhardwaj55@medmail.com,58,,"Main Market, Hamirpur",Child Health Issues,Male,No,4:00 PM - 8:00 PM,3.0,701
City Hospital Hamirpur,Dr. Alka Mahajan,"MBBS, MD",Pediatrician,+91-8936060555,alka.mahajan424@medmail.com,63,,"Dugha, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,1029
City Hospital Hamirpur,Dr. Alka Jaiswal,MBBS,Gynecologist,+91-7617885244,alka.jaiswal493@medmail.com,49,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,461
City Hospital Hamirpur,Dr. Sonal Mahajan,MBBS,Cardiologist,+91-9548702555,sonal.mahajan18@medmail.com,51,,"Sujanpur Tira, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,501
City Hospital Hamirpur,Dr. Priya Jaiswal,"MBBS, MS",ENT Specialist,+91-9494418395,priya.jaiswal627@medmail.com,45,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1295
City Hospital Hamirpur,Dr. Sonal Sharma,"MBBS, MD",General Surgeon,+91-9796144941,sonal.sharma577@medmail.com,41,,"Krishna Nagar, Hamirpur",General Surgery,Female,No,4:00 PM - 8:00 PM,3.0,569
City Hospital Hamirpur,Dr. Karan Kashyap,MBBS,ENT Specialist,+91-7694867292,karan.kashyap457@medmail.com,55,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1115
City Hospital Hamirpur,Dr. Suresh Chauhan,"MBBS, MS",Orthopedic Surgeon,+91-9487399747,suresh.chauhan163@medmail.com,49,,"Sujanpur Tira, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,755
City Hospital Hamirpur,Dr. Meena Rana,"MBBS, MS",Eye Specialist,+91-7711562291,meena.rana620@medmail.com,36,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1316
Sai Hospital & IVF Center,Dr. Shalini Rana,"MBBS, DM",Cardiologist,+91-7838367348,shalini.rana908@medmail.com,38,,"Near Bypass Road, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,595
Sai Hospital & IVF Center,Dr. Amit Sharma,"MBBS, MD",Neurologist,+91-7620895754,amit.sharma658@medmail.com,52,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1019
Sai Hospital & IVF Center,Dr. Alka Singh,"MBBS, DM",Oncologist,+91-7290984974,alka.singh21@medmail.com,48,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,637
Sai Hospital & IVF Center,Dr. Rahul Kapoor,"MBBS, DM",General Surgeon,+91-8581219395,rahul.kapoor382@medmail.com,36,,"Krishna Nagar, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1178
Sai Hospital & IVF Center,Dr. Naveen Thakur,"MBBS, MCh",Gynecologist,+91-8770133047,naveen.thakur9@medmail.com,52,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1376
Sai Hospital & IVF Center,Dr. Shalini Thakur,"MBBS, MD",Cardiologist,+91-9150545607,shalini.thakur480@medmail.com,37,,"Sujanpur Tira, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1091
Sai Hospital & IVF Center,Dr. Shalini Bhardwaj,"MBBS, MD",Oncologist,+91-8337192969,shalini.bhardwaj170@medmail.com,50,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,516
Sai Hospital & IVF Center,Dr. Arun Rana,"MBBS, MCh",Orthopedic Surgeon,+91-8662930897,arun.rana578@medmail.com,53,,"Pakka Bharor, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,1063
Sai Hospital & IVF Center,Dr. Neha Jaiswal,"MBBS, MS",Gynecologist,+91-7969538272,neha.jaiswal495@medmail.com,44,,"Main Market, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,487
Sai Hospital & IVF Center,Dr. Harsh Rana,"MBBS, MCh",Cardiologist,+91-9565296292,harsh.rana321@medmail.com,31,,"Main Market, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,679
Sai Hospital & IVF Center,Dr. Sonal Chauhan,"MBBS, MD",Orthopedic Surgeon,+91-7909694094,sonal.chauhan926@medmail.com,48,,"Dugha, Hamirpur",Bone & Joint Problems,Female,No,4:00 PM - 8:00 PM,3.0,792
Sai Hospital & IVF Center,Dr. Arun Rana,"MBBS, MD",Gynecologist,+91-8904844650,arun.rana531@medmail.com,60,,"Near Bypass Road, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,1364
Sai Hospital & IVF Center,Dr. Deepak Sharma,MBBS,General Surgeon,+91-7010257941,deepak.sharma800@medmail.com,51,,"Sujanpur Tira, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,1480
Sai Hospital & IVF Center,Dr. Karan Rana,"MBBS, MS",Neurologist,+91-9317581883,karan.rana793@medmail.com,37,,"Dugha, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,314
Sai Hospital & IVF Center,Dr. Vikas Mahajan,"MBBS, MCh",Eye Specialist,+91-8890582397,vikas.mahajan902@medmail.com,51,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,364
Sai Hospital & IVF Center,Dr. Pooja Rana,"MBBS, DM",ENT Specialist,+91-8034079762,pooja.rana565@medmail.com,44,,"Dugha, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,820
Sai Hospital & IVF Center,Dr. Rohit Kapoor,"MBBS, DM",Cardiologist,+91-8677692490,rohit.kapoor240@medmail.com,47,,"Krishna Nagar, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1452
Sai Hospital & IVF Center,Dr. Karan Thakur,"MBBS, DM",Neurologist,+91-7231520984,karan.thakur663@medmail.com,61,,"Near Bypass Road, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,947
Sai Hospital & IVF Center,Dr. Pooja Jaiswal,MBBS,Eye Specialist,+91-7142005319,pooja.jaiswal765@medmail.com,65,,"Pakka Bharor, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1386
Sai Hospital & IVF Center,Dr. Naveen Sharma,"MBBS, MS",Neurologist,+91-8646423496,naveen.sharma608@medmail.com,45,,"Dugha, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1462
Sai Hospital & IVF Center,Dr. Suresh Mahajan,"MBBS, DM",General Surgeon,+91-7302044617,suresh.mahajan436@medmail.com,39,,"Sujanpur Tira, Hamirpur",General Surgery,Male,No,4:00 PM - 8:00 PM,3.0,892
Himachal Head Neck Hospital,Dr. Arun Jaiswal,"MBBS, MD",ENT Specialist,+91-9284901033,arun.jaiswal716@medmail.com,52,,"Krishna Nagar, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,691
Himachal Head Neck Hospital,Dr. Raghav Jaiswal,"MBBS, MCh",Oncologist,+91-7774098171,raghav.jaiswal126@medmail.com,56,,"Pakka Bharor, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,718
Himachal Head Neck Hospital,Dr. Meena Thakur,"MBBS, DM",Oncologist,+91-8448986234,meena.thakur923@medmail.com,56,,"Near Bypass Road, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,588
Himachal Head Neck Hospital,Dr. Harsh Bhardwaj,"MBBS, MCh",Neurologist,+91-9380166030,harsh.bhardwaj738@medmail.com,56,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,678
Himachal Head Neck Hospital,Dr. Raghav Kashyap,MBBS,Eye Specialist,+91-9569254303,raghav.kashyap321@medmail.com,47,,"Main Market, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,530
Himachal Head Neck Hospital,Dr. Suresh Chauhan,"MBBS, MCh",Dermatologist,+91-9699575579,suresh.chauhan260@medmail.com,38,,"Main Market, Hamirpur",Skin Problems,Male,No,4:00 PM - 8:00 PM,3.0,1317
Himachal Head Neck Hospital,Dr. Suresh Chauhan,"MBBS, DM",Eye Specialist,+91-7078621211,suresh.chauhan963@medmail.com,33,,"Dugha, Hamirpur",General Treatment,Male,No,4:00 PM - 8:00 PM,3.0,340
Himachal Head Neck Hospital,Dr. Ritu Rana,"MBBS, MCh",Gynecologist,+91-9111312739,ritu.rana33@medmail.com,53,,"Sujanpur Tira, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,1351
Himachal Head Neck Hospital,Dr. Naveen Kapoor,MBBS,Neurologist,+91-8877413226,naveen.kapoor427@medmail.com,44,,"Pakka Bharor, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,434
Himachal Head Neck Hospital,Dr. Ritu Kashyap,"MBBS, DM",Gynecologist,+91-7232611804,ritu.kashyap485@medmail.com,50,,"Krishna Nagar, Hamirpur",General Treatment,Female,No,4:00 PM - 8:00 PM,3.0,500
Himachal Head Neck Hospital,Dr. Rohit Chauhan,MBBS,Neurologist,+91-8287288828,rohit.chauhan257@medmail.com,64,,"Main Market, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1079
Himachal Head Neck Hospital,Dr. Anjali Mahajan,"MBBS, MCh",Cardiologist,+91-9164685368,anjali.mahajan810@medmail.com,57,,"Near Bypass Road, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1229
Himachal Head Neck Hospital,Dr. Rahul Thakur,MBBS,Cardiologist,+91-7227067238,rahul.thakur489@medmail.com,59,,"Dugha, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,1356
Himachal Head Neck Hospital,Dr. Shalini Kashyap,"MBBS, MCh",Neurologist,+91-7106874589,shalini.kashyap408@medmail.com,41,,"Dugha, Hamirpur",Brain Disorders,Male,No,4:00 PM - 8:00 PM,3.0,1371
Himachal Head Neck Hospital,Dr. Arun Thakur,"MBBS, MCh",Cardiologist,+91-7324190350,arun.thakur291@medmail.com,63,,"Krishna Nagar, Hamirpur",Heart Problems,Male,No,4:00 PM - 8:00 PM,3.0,802
Himachal Head Neck Hospital,Dr. Meena Rana,"MBBS, MCh",Pediatrician,+91-7841325325,meena.rana672@medmail.com,60,,"Pakka Bharor, Hamirpur",Child Health Issues,Female,No,4:00 PM - 8:00 PM,3.0,706
Himachal Head Neck Hospital,Dr. Sheetal Mahajan,"MBBS, MS",Cardiologist,+91-7278687147,sheetal.mahajan301@medmail.com,32,,"Pakka Bharor, Hamirpur",Heart Problems,Female,No,4:00 PM - 8:00 PM,3.0,1104
Himachal Head Neck Hospital,Dr. Raghav Verma,"MBBS, MCh",Orthopedic Surgeon,+91-7490451956,raghav.verma672@medmail.com,65,,"Pakka Bharor, Hamirpur",Bone & Joint Problems,Male,No,4:00 PM - 8:00 PM,3.0,398
